nodes,ave_mcmc,risk_mcmc_mean,credible_interval_mcmc,risk_mcmc_hpd,ave_hmc,risk_hmc_mean,credible_interval_hmc,risk_hmc_hpd,total_risk
6082,0.9989631902378924,1.0,[0.81104871 0.99999358],2.0,0.9998768440555081,1.0,[0.93353875 1.        ],1.0,2.0
6233,0.9972950216320399,1.0,[0.91903295 0.99998394],1.0,0.9994768989117845,1.0,[0.97064777 1.        ],1.0,1.0
6423,0.929874832588774,1.0,[0.87698855 0.99998213],1.0,0.9856199589130862,1.0,[0.95792255 1.        ],1.0,1.0
6453,0.8275199224268506,2.0,[0.99251983 0.99999827],1.0,0.9550390805107954,1.0,[0.99769363 1.        ],1.0,1.0
6461,0.9969694006384562,1.0,[0.9914496 0.9999993],1.0,0.9994205910028436,1.0,[0.99731682 1.        ],1.0,1.0
6539,0.9490788178402613,1.0,[0.13350302 0.92004082],3.0,0.9896416547864164,1.0,[0.11365057 1.        ],3.0,2.0
6661,0.9229446760403179,1.0,[0.55841841 0.99986894],3.0,0.9848499045843545,1.0,[0.78067183 1.        ],2.0,2.0
6663,0.9784153879193561,1.0,[0.25275622 0.99908847],3.0,0.9956544804978228,1.0,[0.34941124 1.        ],3.0,2.0
6667,0.984215533431097,1.0,[0.97104052 0.99999783],1.0,0.9964079886246604,1.0,[0.99026264 1.        ],1.0,1.0
6720,0.888536438224377,1.0,[0.85788448 0.99996694],1.0,0.9736394102839762,1.0,[0.94170734 1.        ],1.0,1.0
6724,0.9717795273356371,1.0,[0.48912694 0.99987415],3.0,0.9938207615522846,1.0,[0.71307381 1.        ],2.0,2.0
6730,0.988589520514797,1.0,[0.86331104 0.99996022],1.0,0.9976739678743859,1.0,[0.9548465 1.       ],1.0,1.0
6762,0.9985448068776995,1.0,[0.98515117 0.99999798],1.0,0.9997957861963446,1.0,[0.99415876 1.        ],1.0,1.0
6805,0.9932120891384814,1.0,[0.56703117 0.9999718 ],3.0,0.9985639140378442,1.0,[0.81094371 1.        ],2.0,2.0
6830,0.9092103738339916,1.0,[0.9840536  0.99998717],1.0,0.9791558262868575,1.0,[0.99510965 1.        ],1.0,1.0
6881,0.9398464854824182,1.0,[0.81471095 0.99993371],2.0,0.9874022654321868,1.0,[0.9258415 1.       ],1.0,2.0
6882,0.9896856124477607,1.0,[0.88606255 0.99997943],1.0,0.9979818661712381,1.0,[0.96711673 1.        ],1.0,1.0
6893,0.8521685292703514,1.0,[0.83274955 0.99997038],2.0,0.9643110847988992,1.0,[0.94492593 1.        ],1.0,2.0
6894,0.8000238805098459,2.0,[0.87404119 0.99993723],1.0,0.9439765163866893,1.0,[0.96033588 1.        ],1.0,1.0
6908,0.9112024840572935,1.0,[0.9775917  0.99999263],1.0,0.9813930075396524,1.0,[0.99363346 1.        ],1.0,1.0
6939,0.9866949974996071,1.0,[0.99531135 0.99999798],1.0,0.9971213107560201,1.0,[0.998694 1.      ],1.0,1.0
7018,0.966615652080594,1.0,[0.90619235 0.99999736],1.0,0.992605399554696,1.0,[0.96630041 1.        ],1.0,1.0
7195,0.49946600581602807,3.0,[0.92190885 0.99999427],1.0,0.45235812194263564,3.0,[0.97415362 1.        ],1.0,3.0
7473,0.9624230618349433,1.0,[0.89485942 0.99995336],1.0,0.9915939953548312,1.0,[0.96475088 1.        ],1.0,1.0
7474,0.9807525931741532,1.0,[0.8597168  0.99997705],1.0,0.9963913572365534,1.0,[0.95028016 1.        ],1.0,1.0
7489,0.9898954388639983,1.0,[0.82710852 0.99998232],2.0,0.9981164157226289,1.0,[0.92524557 1.        ],1.0,2.0
7500,0.9612735532273801,1.0,[0.88127796 0.99999513],1.0,0.9916425118507705,1.0,[0.95722999 1.        ],1.0,1.0
7545,0.9718106957775231,1.0,[0.8799181  0.99997312],1.0,0.9942152707218428,1.0,[0.95943036 1.        ],1.0,1.0
7575,0.9428104392024436,1.0,[0.95740218 0.99999917],1.0,0.9876085349878699,1.0,[0.98676362 1.        ],1.0,1.0
7660,0.9537855610900199,1.0,[0.85814701 0.99996214],1.0,0.9903916395442559,1.0,[0.950856 1.      ],1.0,1.0
7713,0.9126577329348406,1.0,[0.91295431 0.99999634],1.0,0.9815274219064237,1.0,[0.96796864 1.        ],1.0,1.0
7738,0.9746217051648614,1.0,[0.92950349 0.99993839],1.0,0.9946697447884706,1.0,[0.97572848 1.        ],1.0,1.0
7922,0.9206905237208219,1.0,[0.40488741 0.99933721],3.0,0.9829213945886939,1.0,[0.59626807 1.        ],3.0,2.0
8100,0.9665008607224513,1.0,[0.77112287 0.99993075],2.0,0.9928740245742524,1.0,[0.90691706 1.        ],1.0,2.0
8218,0.9692553492389643,1.0,[0.98099331 0.99999508],1.0,0.9926854833378543,1.0,[0.99354655 1.        ],1.0,1.0
8220,0.9401052031673001,1.0,[0.81199066 0.9706269 ],2.0,0.986445471692971,1.0,[0.81455457 0.97470017],2.0,2.0
8222,0.9989440699220313,1.0,[0.66377453 0.97371974],2.0,0.9998598539853059,1.0,[0.71026089 0.98873502],2.0,2.0
8283,0.927513631548949,1.0,[0.96451287 0.99999646],1.0,0.9834000315176519,1.0,[0.99012766 1.        ],1.0,1.0
8308,0.8498500067360815,2.0,[0.65859552 0.99996834],2.0,0.9646534909875527,1.0,[0.8436334 1.       ],2.0,2.0
8359,0.746165343127439,2.0,[0.83171797 0.99996121],2.0,0.8105393088647536,2.0,[0.94587214 1.        ],1.0,2.0
8374,0.966955335334478,1.0,[0.72389585 0.9999744 ],2.0,0.9928622240715647,1.0,[0.88390709 1.        ],1.0,2.0
8426,0.6630865012091532,2.0,[0.89213714 0.99998902],1.0,0.8611684282514205,1.0,[0.96173945 1.        ],1.0,1.0
8447,0.9747632951774722,1.0,[0.80531096 0.99997367],2.0,0.994860832600758,1.0,[0.94245396 1.        ],1.0,2.0
8455,0.9254142327421109,1.0,[0.95338107 0.99999383],1.0,0.9838813489728038,1.0,[0.98416135 1.        ],1.0,1.0
8468,0.8757505323392932,1.0,[0.25493909 0.99998274],3.0,0.9461093263641553,1.0,[0.38507783 1.        ],3.0,2.0
8492,0.9788777680570733,1.0,[0.90029666 0.99993041],1.0,0.995557289354224,1.0,[0.96301699 1.        ],1.0,1.0
8560,0.9820038966924028,1.0,[0.50458242 0.99994097],3.0,0.9963385797176784,1.0,[0.73128246 1.        ],2.0,2.0
8607,0.968382333118784,1.0,[0.75946286 0.99999898],2.0,0.9938904994825559,1.0,[0.90802024 1.        ],1.0,2.0
8660,0.9425526360404107,1.0,[0.81425229 0.99993408],2.0,0.9875142743014876,1.0,[0.91253729 1.        ],1.0,2.0
8708,0.6607492148543171,2.0,[0.81945776 0.9999974 ],2.0,0.86197084711617,1.0,[0.9427628 1.       ],1.0,2.0
8732,0.9260218402934863,1.0,[0.4046957  0.99987295],3.0,0.9829440961565881,1.0,[0.5771409 1.       ],3.0,2.0
